url,title,published,author,categories,audio_links
https://pola-retradio.org/2017/01/la-dominado-de-la-angla-manko-en-la-sciencaj-konoj/,La dominado de la angla – manko en la sciencaj konoj,2017-01-03T00:00:05+01:00,,Sciencaj informoj,"/wp-content/uploads/2017/01/sc_bp_Malavantagoj-de-unulingva-scienca-literaturo_0314.mp3,/wp-content/uploads/2017/01/sc_bp_Malavantagoj-de-unulingva-scienca-literaturo_0314.mp3?_=43"
https://pola-retradio.org/2017/01/fringo-venkis-en-la-pola-eldono-de-la-europaj-tagoj-de-birdoj-2016/,Fringo venkis en la pola eldono de la Eŭropaj Tagoj de Birdoj-2016,2017-01-03T00:00:15+01:00,,Sciencaj informoj,"http://wp-content/uploads/2017/01/sc_bp_Fringo-la-heroo-de-la-pola-Europa-Tago-de-Birdoj-2016_0137.mp3,http://wp-content/uploads/2017/01/sc_bp_Fringo-la-heroo-de-la-pola-Europa-Tago-de-Birdoj-2016_0137.mp3?_=44"
https://pola-retradio.org/2017/01/aldonaj-rimedoj-por-la-centro-de-polaj-studoj-en-cambridge/,Aldonaj rimedoj por la Centro de Polaj Studoj en Cambridge,2017-01-03T00:00:41+01:00,,Novaĵoj,"/wp-content/uploads/2017/01/w_kg_subtenrimedoj-por-la-Pola-Studcentro-en-Cambridge_041.mp3,/wp-content/uploads/2017/01/w_kg_subtenrimedoj-por-la-Pola-Studcentro-en-Cambridge_041.mp3?_=45"
https://pola-retradio.org/2017/01/post-10-jaroj-la-plej-malalta-deficito-en-la-polaj-publikaj-financoj/,Post 10 jaroj la plej malalta deficito en la polaj publikaj financoj,2017-01-03T00:01:58+01:00,,Novaĵoj,"/wp-content/uploads/2017/01/w_kg_Bona-stato-de-la-publikaj-financoj_049.mp3,/wp-content/uploads/2017/01/w_kg_Bona-stato-de-la-publikaj-financoj_049.mp3?_=46"
https://pola-retradio.org/2017/01/sep-kultutinstitucioj-en-bjalistoko/,Sep Kultutinstitucioj en Bjalistoko,2017-01-03T00:02:47+01:00,,Novaĵoj,"/wp-content/uploads/2017/01/w_msz_Zamenhof-Centro-en-la-novstrukturita-Bjalistoka-Kulturcentro_0253.mp3,/wp-content/uploads/2017/01/w_msz_Zamenhof-Centro-en-la-novstrukturita-Bjalistoka-Kulturcentro_0253.mp3?_=47"
https://pola-retradio.org/2017/01/interparolo-kun-walter-zelazny/,Interparolo kun Walter Żelazny,2017-01-03T17:08:17+01:00,,Antaŭ la mikrofono,"/wp-content/uploads/2017/01/bp_rozm.-z-prof.-W.-Zelazny_1012.mp3,/wp-content/uploads/2017/01/bp_rozm.-z-prof.-W.-Zelazny_1012.mp3?_=48"
https://pola-retradio.org/2017/01/e_elsendo-el-la-03-01-2017/,E_elsendo el la 03.01.2017,2017-01-03T20:25:55+01:00,,Elsendoj,/wp-content/uploads/2017/01/RetRadio_03.01.2017.mp3
https://pola-retradio.org/2017/01/e_elsendo-el-la-06-01-2017/,E_elsendo el la 06.01.2017,2017-01-06T14:42:04+01:00,,Elsendoj,/wp-content/uploads/2017/01/RetRadio_06.01.2017_-vendredo.mp3
https://pola-retradio.org/2017/01/ekspozicio-en-krakovo-enhave-ligita-kun-epifanio/,Ekspozicio en Krakovo enhave ligita kun Epifanio,2017-01-06T17:00:28+01:00,,Kulturkroniko,"/wp-content/uploads/2017/01/kk_bp_Ekspozicio-lihe-kun-Epifanio-en-Krakovo_0120.mp3,/wp-content/uploads/2017/01/kk_bp_Ekspozicio-lihe-kun-Epifanio-en-Krakovo_0120.mp3?_=49"
https://pola-retradio.org/2017/01/anna-striganowa-pri-fabeloj-pentroarto-kaj-aliajoj/,"Anna Striganova pri fabeloj, pentroarto kaj aliaĵoj",2017-01-06T17:01:53+01:00,,Antaŭ la mikrofono,"/wp-content/uploads/2017/01/bp_interp.-kun-Anna-Striganova_0658.mp3,/wp-content/uploads/2017/01/bp_interp.-kun-Anna-Striganova_0658.mp3?_=50"
https://pola-retradio.org/2017/01/paradoj-de-la-tri-regoj/,Paradoj de la Tri Reĝoj,2017-01-06T17:10:04+01:00,,Kulturkroniko,"/wp-content/uploads/2017/01/kk_bp_Paradoj-de-la-Tri-Regoj_0136.mp3,/wp-content/uploads/2017/01/kk_bp_Paradoj-de-la-Tri-Regoj_0136.mp3?_=51"
https://pola-retradio.org/2017/01/pli-da-flugoj-de-lot-al-cikago-kaj-seulo/,Pli da flugoj de LOT al Ĉikago kaj Seulo,2017-01-10T00:00:01+01:00,,Novaĵoj,"/wp-content/uploads/2017/01/w_msz_LOT-pli-ofte-al-Seulo_0133.mp3,/wp-content/uploads/2017/01/w_msz_LOT-pli-ofte-al-Seulo_0133.mp3?_=52"
https://pola-retradio.org/2017/01/en-2017-komencigos-esploroj-en-solaris-2/,En 2017 komenciĝos esploroj en Solaris,2017-01-10T00:00:04+01:00,,Sciencaj informoj,"/wp-content/uploads/2017/01/sc_tm_La-pola-sinkrotrono-Solaris_0205.mp3,/wp-content/uploads/2017/01/sc_tm_La-pola-sinkrotrono-Solaris_0205.mp3?_=53"
https://pola-retradio.org/2017/01/raporto-pri-ukrainanoj-laborantaj-en-pollando/,Raporto pri ukrainanoj laborantaj en Pollando,2017-01-10T00:01:52+01:00,,Novaĵoj,"/wp-content/uploads/2017/01/w_mj_Novaj-donitajoj-pri-laborantaj-ukrainanoj_0152.mp3,/wp-content/uploads/2017/01/w_mj_Novaj-donitajoj-pri-laborantaj-ukrainanoj_0152.mp3?_=54"
https://pola-retradio.org/2017/01/usonaj-solatoj-firmigas-la-orientan-nato-alon/,Usonaj solatoj firmigas la orientan NATO-alon,2017-01-10T00:02:42+01:00,,Novaĵoj,"/wp-content/uploads/2017/01/w_bp_La-unuaj-usonaj-soldatoj-kadre-de-NATO-fortigo_0108.mp3,/wp-content/uploads/2017/01/w_bp_La-unuaj-usonaj-soldatoj-kadre-de-NATO-fortigo_0108.mp3?_=55"
https://pola-retradio.org/2017/01/intervjuo-kun-suso-moinhos-pri-verkoj-liaj-kaj-aliaj-temoj/,Intervjuo kun Suso Moinhos pri verkoj liaj kaj aliaj temoj,2017-01-10T16:40:46+01:00,,Antaŭ la mikrofono,"/wp-content/uploads/2017/01/bp_inter.kun-Suso-Moinhos-Hispanio_literaturo_1320.mp3,/wp-content/uploads/2017/01/bp_inter.kun-Suso-Moinhos-Hispanio_literaturo_1320.mp3?_=56"
https://pola-retradio.org/2017/01/e_elsendo-el-la-10-01-2017/,E_elsendo el la 10.01.2017,2017-01-10T19:17:20+01:00,,Elsendoj,/wp-content/uploads/2017/01/RetRadio_10.01.2017_-mardo_.mp3
https://pola-retradio.org/2017/01/arto-guebla-de-personoj-blindaj-au-de-reduktita-vidkapablo/,Arto ĝuebla de personoj blindaj aŭ de reduktita vidkapablo,2017-01-13T19:37:39+01:00,,Kulturkroniko,"/wp-content/uploads/2017/01/kk_gk_Arto_guebla_de_blinduloj_0150.mp3-filename-UTF-8kk_gk_Arto-guebla-de-blinduloj_0127502727.mp3,/wp-content/uploads/2017/01/kk_gk_Arto_guebla_de_blinduloj_0150.mp3-filename-UTF-8kk_gk_Arto-guebla-de-blinduloj_0127502727.mp3?_=57"
https://pola-retradio.org/2017/01/e_elsendo-el-la-13-01-2017/,E_elsendo el la 13.01.2017,2017-01-13T19:38:55+01:00,,Elsendoj,/wp-content/uploads/2017/01/RetRadio_13.01.2017_vendredo.mp3
https://pola-retradio.org/2017/01/artverkoj-el-la-kolekto-de-la-katolika-universitato-de-lublin-videblaj-en-la-rega-kastelo-varsovio/,"Artverkoj el la kolekto de la Katolika Universitato de Lublin videblaj en la Reĝa Kastelo, Varsovio",2017-01-13T20:02:44+01:00,,Kulturkroniko,"/wp-content/uploads/2017/01/kk_tm_Artverkoj_el_KUL_en_la_Rega_Kastelo_en_Varsovio_0108.mp3-filename-UTF-8kk_tm_Artverkoj-el-KUL-en-la-Rega-Kastelo-en-Varsovio_0127082727.mp3,/wp-content/uploads/2017/01/kk_tm_Artverkoj_el_KUL_en_la_Rega_Kastelo_en_Varsovio_0108.mp3-filename-UTF-8kk_tm_Artverkoj-el-KUL-en-la-Rega-Kastelo-en-Varsovio_0127082727.mp3?_=58"
https://pola-retradio.org/2017/01/koninda-polo-erazm-jerzmanowski-jejmanofski-polo-kiu-lumigis-usonon/,"Koninda polo – Erazm Jerzmanowski [jeĵmanofski], polo kiu lumigis Usonon",2017-01-13T22:06:01+01:00,,Felietonoj,"/wp-content/uploads/2017/01/bp_Koninda-polo_Erazm-Jerzmanowski_0640.mp3,/wp-content/uploads/2017/01/bp_Koninda-polo_Erazm-Jerzmanowski_0640.mp3?_=59"
https://pola-retradio.org/2017/01/transpanto-de-mano-al-homo-senigita-je-ci-tiu-organo/,Transpanto de mano al homo senigita je ĉi tiu organo,2017-01-17T00:00:19+01:00,,Sciencaj informoj,"/wp-content/uploads/2017/01/sc_tm_SenPrecedenca-transplanto-de-mano-en-Vroclavo_0111.mp3,/wp-content/uploads/2017/01/sc_tm_SenPrecedenca-transplanto-de-mano-en-Vroclavo_0111.mp3?_=60"
https://pola-retradio.org/2017/01/rimedoj-por-la-plukontruo-de-la-varsovia-metroo/,Rimedoj por la plukontruo de la varsovia metroo,2017-01-17T00:00:56+01:00,,Novaĵoj,"/wp-content/uploads/2017/01/w_tm_Pliaj-rimedoj-por-plukonstruoo-de-la-varsovia-metroo_0053.mp3,/wp-content/uploads/2017/01/w_tm_Pliaj-rimedoj-por-plukonstruoo-de-la-varsovia-metroo_0053.mp3?_=61"
https://pola-retradio.org/2017/01/ne-por-senlegalizo-de-la-germana-npd/,"Ne,  por senlegalizo de la germana NPD",2017-01-17T00:01:14+01:00,,Novaĵoj,"/wp-content/uploads/2017/01/w_msz_La-germana-NPD-legala_0138.mp3,/wp-content/uploads/2017/01/w_msz_La-germana-NPD-legala_0138.mp3?_=62"
https://pola-retradio.org/2017/01/pola-prezidenta-paro-en-israelo/,Pola prezidenta paro en Israelo,2017-01-17T00:01:34+01:00,,Novaĵoj,"/wp-content/uploads/2017/01/w_msz_Vizito-de-la-pola-prezidenta-paro-en-Israelo_0123.mp3,/wp-content/uploads/2017/01/w_msz_Vizito-de-la-pola-prezidenta-paro-en-Israelo_0123.mp3?_=63"
https://pola-retradio.org/2017/01/e_elsendo-el-la-17-01-2017/,E_elsendo el la 17.01.2017,2017-01-17T18:09:49+01:00,,Elsendoj,/wp-content/uploads/2017/01/RetRadio_17.01.2017_-mardo.mp3
https://pola-retradio.org/2017/01/e_elsendo-el-la-20-01-2017/,E_elsendo el la 20.01.2017,2017-01-20T18:07:31+01:00,,Elsendoj,/wp-content/uploads/2017/01/RetRadio_20.01.2017_-vendredo.mp3
https://pola-retradio.org/2017/01/finna-arkitekturo-kaj-dezajno-en-la-varsovia-muzeo-pri-historio-de-polaj-judoj/,Finna arkitekturo kaj dezajno en la varsovia Muzeo pri Historio de Polaj Judoj,2017-01-20T19:33:36+01:00,,Kulturkroniko,"/wp-content/uploads/2017/01/kk_tm_Finna-arkitekturo-kaj-dezajno-en-Varsovio_0100.mp3,/wp-content/uploads/2017/01/kk_tm_Finna-arkitekturo-kaj-dezajno-en-Varsovio_0100.mp3?_=64"
